"EID","REFERRAL","NUMBER_JOBS","PROG_EXER_RATE","INTPER_RATE","PRIOR_EXP","HIRE_REC","HIRE_DATE","TURNOVER_DATE","TURNOVER"
931311,"No","0-1","Pass",6,"No",3,2016-01-01,NA,"No"
496415,"No","0-1","Pass",7,"No",3,2017-04-01,NA,"No"
494009,"No","2","Pass",10,"No",2,2017-01-01,NA,"No"
776495,"No","0-1","Concerns",10,"No",1,2017-01-01,2018-08-01,"Yes"
914493,"No","2","Pass",10,"No",2,2017-02-01,2018-08-01,"Yes"
158603,"No","2","Pass",10,"No",2,2016-02-01,2018-02-01,"Yes"
977203,"No","0-1","Concerns",6,"No",3,2016-02-01,NA,"No"
765160,"No","0-1","Pass",8,"No",2,2016-05-01,2016-06-01,"Yes"
943217,"No","0-1","Pass",10,"Yes",3,2016-01-01,NA,"No"
175920,"No","0-1","Pass",9,"No",2,2017-01-01,NA,"No"
904897,"No","0-1","Pass",8,"No",2,2017-02-01,2017-08-01,"Yes"
675172,"No","2","Pass",8,"Yes",1,2016-02-01,2020-07-01,"Yes"
549908,"No","2","Concerns",8,"Yes",2,2017-06-01,2018-03-01,"Yes"
900148,"No","0-1","Pass",10,"No",3,2016-09-01,NA,"No"
868726,"No","2","Pass",10,"No",3,2017-01-01,NA,"No"
892462,"No","0-1","Pass",6,"No",2,2016-04-01,2016-05-01,"Yes"
481438,"Yes","0-1","Pass",8,"No",3,2016-09-01,NA,"No"
126523,"No","2","Concerns",8,"No",2,2017-02-01,2017-07-01,"Yes"
474297,"No","0-1","Pass",10,"No",3,2017-06-01,NA,"No"
692042,"No","0-1","Concerns",10,"No",2,2016-07-01,2021-01-01,"Yes"
414562,"No","0-1","Pass",8,"No",1,2017-01-01,2021-07-01,"Yes"
723707,"No","2","Pass",7,"No",2,2016-01-01,2020-04-01,"Yes"
102837,"No","2","Pass",7,"Yes",2,2017-02-01,2019-12-01,"Yes"
229349,"No","0-1","Pass+",6,"No",3,2016-05-01,2019-09-01,"Yes"
184682,"No","0-1","Pass",10,"Yes",1,2017-01-01,NA,"No"
366536,"No","0-1","Pass",9,"No",2,2017-04-01,NA,"No"
119733,"No","0-1","Pass",7,"No",3,2016-05-01,NA,"No"
629022,"No","0-1","Pass+",9,"No",2,2016-07-01,2020-02-01,"Yes"
961671,"Yes","0-1","Pass",7,"No",2,2017-01-01,NA,"No"
983771,"No","0-1","Concerns",9,"No",3,2017-01-01,2018-12-01,"Yes"
900184,"No","0-1","Pass",7,"Yes",1,2016-01-01,NA,"No"
692602,"No","0-1","Pass",9,"No",2,2016-01-01,2019-10-01,"Yes"
309114,"No","2","Pass",10,"No",2,2016-01-01,2018-01-01,"Yes"
597845,"No","2","Pass",8,"No",1,2016-01-01,2020-04-01,"Yes"
308417,"No","0-1","Pass",7,"No",2,2016-02-01,2020-02-01,"Yes"
106992,"No","0-1","Pass",10,"No",2,2016-03-01,2019-08-01,"Yes"
184699,"No","0-1","Concerns",8,"No",3,2016-05-01,2016-12-01,"Yes"
488043,"No","3+","Concerns",9,"No",2,2016-02-01,2021-11-01,"Yes"
617919,"No","0-1","Concerns",9,"No",2,2017-02-01,2019-08-01,"Yes"
715998,"No","0-1","Concerns",8,"Yes",2,2017-01-01,NA,"No"
463362,"No","0-1","Pass",10,"Yes",3,2017-04-01,NA,"No"
752609,"No","2","Pass",10,"No",2,2016-02-01,NA,"No"
570755,"No","3+","Pass",6,"No",0,2016-02-01,2018-02-01,"Yes"
569259,"No","0-1","Pass",10,"No",1,2016-06-01,NA,"No"
972275,"No","3+","Pass",7,"No",2,2017-02-01,2020-10-01,"Yes"
587796,"No","2","Pass",9,"Yes",3,2017-02-01,NA,"No"
598542,"No","2","Pass",10,"No",3,2016-06-01,2020-08-01,"Yes"
840698,"Yes","0-1","Concerns",7,"No",2,2017-03-01,2018-08-01,"Yes"
837126,"No","0-1","Pass",6,"No",1,2017-01-01,2021-04-01,"Yes"
972954,"No","0-1","Pass",9,"No",2,2016-09-01,2020-08-01,"Yes"
914662,"No","0-1","Concerns",7,"No",3,2017-02-01,2019-03-01,"Yes"
356911,"No","0-1","Concerns",7,"No",2,2016-03-01,2018-03-01,"Yes"
864831,"No","0-1","Pass",10,"No",2,2016-01-01,2021-12-01,"Yes"
675341,"No","0-1","Pass",7,"No",2,2017-02-01,2018-12-01,"Yes"
884984,"No","2","Pass",8,"No",3,2017-02-01,2021-01-01,"Yes"
926430,"No","2","Pass",7,"No",2,2017-11-01,2018-10-01,"Yes"
438371,"No","0-1","Concerns",8,"Yes",2,2017-02-01,2019-07-01,"Yes"
912246,"No","2","Pass",10,"No",3,2016-02-01,NA,"No"
569000,"No","3+","Pass",10,"No",2,2016-01-01,2016-04-01,"Yes"
473612,"No","2","Pass",7,"No",2,2016-01-01,2017-02-01,"Yes"
408510,"No","0-1","Pass",7,"No",2,2016-02-01,2018-05-01,"Yes"
590812,"No","3+","Pass",10,"Yes",3,2017-04-01,2017-06-01,"Yes"
878633,"No","2","Pass",8,"Yes",1,2016-01-01,2016-03-01,"Yes"
888840,"No","2","Pass",9,"No",2,2016-01-01,2019-10-01,"Yes"
241788,"No","2","Pass",7,"No",3,2017-02-01,2021-05-01,"Yes"
341508,"No","0-1","Pass",9,"No",2,2017-12-01,NA,"No"
198714,"No","0-1","Pass+",10,"No",3,2017-02-01,2017-05-01,"Yes"
801946,"No","0-1","Pass",9,"No",2,2017-09-01,NA,"No"
597108,"No","0-1","Pass",10,"Yes",2,2017-01-01,2017-06-01,"Yes"
780519,"Yes","2","Pass",10,"No",2,2017-04-01,NA,"No"
927510,"No","0-1","Pass",10,"No",1,2016-01-01,NA,"No"
700673,"Yes","2","Pass",8,"No",2,2016-10-01,2019-01-01,"Yes"
751461,"No","0-1","Concerns",10,"No",3,2017-01-01,2018-07-01,"Yes"
171719,"No","3+","Pass",8,"Yes",2,2017-05-01,2019-06-01,"Yes"
624504,"No","0-1","Concerns",6,"No",2,2016-06-01,NA,"No"
158901,"No","0-1","Pass",9,"Yes",3,2016-02-01,2018-06-01,"Yes"
433304,"No","3+","Pass",8,"Yes",1,2017-02-01,NA,"No"
647412,"Yes","2","Pass",9,"No",3,2016-02-01,2020-07-01,"Yes"
124749,"No","0-1","Pass",10,"No",3,2017-02-01,NA,"No"
200446,"No","2","Pass",10,"No",2,2017-01-01,NA,"No"
727940,"No","3+","Pass",10,"No",2,2017-01-01,NA,"No"
670148,"No","0-1","Pass",10,"No",3,2017-02-01,2021-08-01,"Yes"
938502,"No","0-1","Concerns",7,"No",2,2017-01-01,NA,"No"
540446,"No","0-1","Concerns",9,"No",0,2017-01-01,2017-10-01,"Yes"
381324,"No","0-1","Pass+",10,"No",2,2016-03-01,2020-06-01,"Yes"
791471,"No","2","Pass",8,"No",2,2017-04-01,NA,"No"
395813,"No","0-1","Pass",10,"No",3,2016-02-01,NA,"No"
576104,"No","2","Pass+",8,"Yes",0,2016-03-01,2019-01-01,"Yes"
390666,"No","3+","Pass+",8,"No",2,2017-08-01,2020-07-01,"Yes"
508973,"No","3+","Pass",7,"No",0,2016-01-01,2016-07-01,"Yes"
151984,"No","0-1","Concerns",10,"No",3,2017-01-01,NA,"No"
551296,"No","0-1","Concerns",8,"No",2,2016-05-01,2016-07-01,"Yes"
849353,"No","0-1","Pass",8,"Yes",3,2017-01-01,NA,"No"
140140,"No","0-1","Pass",9,"No",1,2017-02-01,2017-09-01,"Yes"
746518,"No","2","Pass",10,"No",3,2016-02-01,NA,"No"
104214,"No","0-1","Pass",9,"No",2,2016-05-01,NA,"No"
376881,"No","2","Pass",6,"No",3,2016-02-01,2018-10-01,"Yes"
836266,"No","0-1","Concerns",10,"No",3,2016-03-01,2016-08-01,"Yes"
742944,"No","0-1","Pass",7,"No",2,2016-02-01,2018-09-01,"Yes"
355433,"No","2","Pass",9,"No",3,2017-03-01,NA,"No"
409536,"No","0-1","Pass",8,"No",1,2017-10-01,2021-12-01,"Yes"
785852,"No","2","Pass",10,"Yes",0,2017-01-01,NA,"No"
554434,"No","2","Pass",7,"No",3,2016-01-01,2019-10-01,"Yes"
166730,"No","2","Pass+",8,"No",3,2016-01-01,2019-08-01,"Yes"
951275,"No","3+","Pass",7,"No",3,2016-01-01,NA,"No"
838803,"No","2","Pass",2,"No",2,2016-06-01,2016-07-01,"Yes"
108420,"No","0-1","Pass",6,"Yes",3,2016-03-01,2020-04-01,"Yes"
892018,"No","0-1","Pass",9,"No",3,2017-02-01,2017-03-01,"Yes"
331912,"Yes","3+","Concerns",8,"No",2,2016-05-01,NA,"No"
959934,"No","0-1","Pass+",9,"Yes",3,2017-05-01,2021-05-01,"Yes"
702392,"No","0-1","Pass",10,"No",2,2016-01-01,NA,"No"
369559,"Yes","2","Pass",7,"No",3,2016-04-01,NA,"No"
808654,"No","3+","Pass",9,"No",3,2016-02-01,2018-05-01,"Yes"
604451,"No","2","Pass",8,"No",3,2017-05-01,2019-07-01,"Yes"
305541,"No","0-1","Pass",10,"Yes",2,2017-02-01,2020-09-01,"Yes"
681210,"No","2","Concerns",6,"No",2,2016-04-01,NA,"No"
357210,"No","0-1","Pass",8,"No",2,2017-05-01,NA,"No"
852876,"No","0-1","Pass",9,"Yes",3,2017-02-01,2019-01-01,"Yes"
473919,"No","2","Pass",10,"No",2,2016-01-01,NA,"No"
203461,"No","3+","Pass+",9,"Yes",2,2017-01-01,NA,"No"
519740,"No","3+","Pass+",10,"No",2,2016-05-01,2018-03-01,"Yes"
506467,"No","0-1","Pass",9,"Yes",3,2016-01-01,NA,"No"
505147,"Yes","2","Concerns",8,"Yes",2,2017-01-01,2017-07-01,"Yes"
997452,"No","0-1","Pass",10,"Yes",1,2016-02-01,2018-09-01,"Yes"
203391,"No","0-1","Pass",7,"No",2,2016-09-01,NA,"No"
630347,"No","0-1","Pass",8,"No",2,2017-08-01,2021-09-01,"Yes"
359341,"No","0-1","Pass",8,"No",2,2017-02-01,NA,"No"
353365,"No","0-1","Pass",9,"No",3,2017-03-01,2019-03-01,"Yes"
216631,"No","2","Pass",7,"Yes",2,2016-05-01,2020-08-01,"Yes"
905299,"No","0-1","Pass+",8,"No",1,2017-02-01,NA,"No"
733681,"No","0-1","Pass",8,"No",2,2016-02-01,2020-02-01,"Yes"
989692,"No","0-1","Pass",10,"No",2,2016-01-01,2016-03-01,"Yes"
374049,"No","0-1","Pass",8,"No",2,2016-03-01,NA,"No"
837570,"Yes","0-1","Pass",9,"No",3,2016-05-01,NA,"No"
460899,"No","0-1","Pass",7,"Yes",2,2017-01-01,2020-07-01,"Yes"
124132,"No","0-1","Concerns",10,"Yes",2,2017-01-01,2017-10-01,"Yes"
934629,"Yes","0-1","Pass",10,"No",3,2017-02-01,2019-05-01,"Yes"
313200,"No","0-1","Pass",7,"No",2,2017-01-01,NA,"No"
934888,"No","2","Pass",10,"No",2,2016-02-01,2020-06-01,"Yes"
119395,"No","0-1","Pass",8,"No",3,2016-01-01,NA,"No"
110078,"No","0-1","Pass",10,"No",3,2017-02-01,NA,"No"
199520,"No","0-1","Pass+",7,"No",2,2016-01-01,2016-04-01,"Yes"
738643,"No","0-1","Pass",10,"No",2,2017-02-01,2017-08-01,"Yes"
595489,"No","0-1","Pass",6,"Yes",2,2016-02-01,2016-09-01,"Yes"
503075,"Yes","2","Concerns",10,"No",3,2017-02-01,2019-07-01,"Yes"
859900,"Yes","0-1","Pass",9,"No",2,2016-01-01,NA,"No"
475358,"No","0-1","Pass",9,"No",3,2016-07-01,NA,"No"
410184,"No","0-1","Pass",9,"No",2,2017-02-01,2017-04-01,"Yes"
623553,"No","2","Pass",8,"No",3,2017-08-01,NA,"No"
478392,"No","2","Pass",6,"No",3,2016-01-01,2017-12-01,"Yes"
233044,"No","0-1","Concerns",10,"No",3,2016-04-01,2020-05-01,"Yes"
100846,"No","0-1","Pass",10,"Yes",3,2016-01-01,2019-11-01,"Yes"
449273,"No","0-1","Pass",10,"No",3,2016-06-01,2021-03-01,"Yes"
241886,"No","0-1","Pass",8,"No",3,2017-03-01,2018-10-01,"Yes"
876719,"No","2","Concerns",9,"Yes",2,2017-01-01,NA,"No"
635062,"No","3+","Pass",9,"No",3,2017-03-01,2017-08-01,"Yes"
371069,"No","0-1","Pass",10,"Yes",2,2017-02-01,NA,"No"
546538,"No","2","Pass",9,"No",2,2017-01-01,NA,"No"
664732,"No","2","Pass",10,"No",3,2017-02-01,NA,"No"
895738,"No","3+","Pass",9,"No",2,2017-02-01,2019-01-01,"Yes"
267861,"No","0-1","Pass",4,"No",2,2016-03-01,2016-09-01,"Yes"
733529,"No","0-1","Pass",9,"Yes",3,2017-02-01,NA,"No"
725058,"No","0-1","Pass",10,"No",2,2016-01-01,2020-03-01,"Yes"
650016,"No","0-1","Pass",7,"No",3,2016-01-01,2019-11-01,"Yes"
222356,"No","0-1","Pass",7,"No",0,2016-02-01,2016-09-01,"Yes"
664372,"No","0-1","Pass",10,"No",3,2017-02-01,2021-03-01,"Yes"
219069,"No","0-1","Pass+",10,"No",2,2017-05-01,NA,"No"
114974,"No","0-1","Concerns",10,"Yes",2,2016-05-01,2022-01-01,"Yes"
508394,"Yes","0-1","Pass",10,"No",2,2016-01-01,NA,"No"
367428,"Yes","2","Pass",7,"No",2,2016-02-01,NA,"No"
888592,"No","2","Pass",10,"Yes",1,2017-01-01,NA,"No"
729605,"No","3+","Pass+",7,"No",2,2016-01-01,NA,"No"
567491,"No","0-1","Pass+",10,"No",3,2017-01-01,NA,"No"
958914,"Yes","2","Pass",9,"No",3,2017-04-01,NA,"No"
561116,"No","0-1","Pass",6,"No",2,2017-03-01,NA,"No"
289262,"No","0-1","Pass",10,"Yes",2,2017-02-01,2017-03-01,"Yes"
689622,"No","0-1","Concerns",10,"No",2,2016-02-01,2018-07-01,"Yes"
151922,"No","0-1","Pass",6,"Yes",3,2016-02-01,2018-03-01,"Yes"
346806,"No","0-1","Pass+",10,"No",2,2017-02-01,NA,"No"
552083,"No","0-1","Pass",9,"No",3,2016-11-01,NA,"No"
915426,"No","0-1","Concerns",10,"No",3,2017-02-01,2019-08-01,"Yes"
729025,"No","3+","Concerns",10,"No",2,2016-01-01,2016-04-01,"Yes"
357484,"No","0-1","Concerns",9,"No",2,2016-04-01,2022-01-01,"Yes"
482667,"No","2","Pass",10,"Yes",2,2017-04-01,2019-04-01,"Yes"
824677,"No","3+","Pass",7,"No",3,2017-04-01,2019-02-01,"Yes"
773787,"No","2","Concerns",4,"No",2,2017-02-01,2019-02-01,"Yes"
823784,"No","0-1","Concerns",8,"No",3,2017-01-01,NA,"No"
565083,"No","0-1","Pass",7,"No",2,2016-02-01,2018-01-01,"Yes"
755243,"No","0-1","Pass",10,"No",2,2016-01-01,NA,"No"
560348,"Yes","2","Pass",6,"Yes",2,2016-02-01,NA,"No"
187644,"No","0-1","Pass",5,"No",3,2016-04-01,2020-12-01,"Yes"
966818,"No","0-1","Concerns",1,"Yes",2,2016-01-01,2017-09-01,"Yes"
378723,"No","2","Pass",8,"No",3,2016-03-01,2019-01-01,"Yes"
709908,"No","0-1","Pass",7,"Yes",3,2016-02-01,2017-05-01,"Yes"
404331,"No","2","Pass",7,"No",3,2017-02-01,2020-07-01,"Yes"
108854,"No","0-1","Pass+",10,"No",3,2016-01-01,2016-04-01,"Yes"
809447,"Yes","2","Concerns",10,"No",3,2016-04-01,NA,"No"
387555,"Yes","2","Pass+",9,"No",1,2017-02-01,NA,"No"
510802,"No","0-1","Concerns",10,"Yes",2,2016-01-01,2017-08-01,"Yes"
294680,"Yes","0-1","Pass",9,"No",3,2017-06-01,2021-11-01,"Yes"
372776,"Yes","0-1","Concerns",7,"No",2,2017-03-01,NA,"No"
722028,"No","0-1","Pass",7,"No",3,2016-06-01,2016-08-01,"Yes"
841350,"No","0-1","Pass",8,"Yes",2,2017-01-01,2019-07-01,"Yes"
257606,"Yes","0-1","Concerns",8,"Yes",2,2016-02-01,NA,"No"
308526,"No","2","Pass",8,"Yes",1,2016-04-01,NA,"No"
663232,"No","0-1","Pass",8,"No",3,2016-02-01,NA,"No"
118197,"No","0-1","Concerns",6,"Yes",3,2016-01-01,2018-01-01,"Yes"
710861,"Yes","0-1","Pass",10,"Yes",2,2016-01-01,NA,"No"
257565,"Yes","3+","Pass",10,"Yes",3,2016-03-01,NA,"No"
431711,"No","0-1","Pass",10,"Yes",2,2016-01-01,2020-03-01,"Yes"
754394,"No","0-1","Pass",8,"Yes",3,2016-05-01,2020-08-01,"Yes"
246677,"No","0-1","Pass",8,"No",3,2017-01-01,2021-01-01,"Yes"
612576,"No","2","Concerns",10,"No",2,2017-02-01,NA,"No"
623331,"No","0-1","Concerns",9,"Yes",3,2017-09-01,NA,"No"
230372,"No","3+","Concerns",10,"No",3,2016-05-01,2020-11-01,"Yes"
204446,"No","3+","Pass",10,"No",2,2016-01-01,NA,"No"
950553,"No","2","Pass",0,"No",2,2016-02-01,NA,"No"
515849,"No","0-1","Pass",9,"No",1,2017-01-01,2020-07-01,"Yes"
648085,"No","0-1","Pass",10,"No",2,2016-01-01,2020-05-01,"Yes"
724267,"No","0-1","Pass",8,"No",3,2016-01-01,NA,"No"
823540,"No","0-1","Concerns",10,"Yes",0,2016-02-01,NA,"No"
700296,"No","0-1","Pass",10,"No",2,2016-04-01,2021-03-01,"Yes"
982022,"Yes","2","Pass",10,"No",2,2017-02-01,2019-06-01,"Yes"
152693,"No","0-1","Pass",6,"No",1,2017-04-01,2018-04-01,"Yes"
923173,"No","0-1","Concerns",7,"No",2,2017-09-01,2020-06-01,"Yes"
679618,"No","2","Pass",9,"No",1,2016-01-01,NA,"No"
652965,"No","0-1","Concerns",6,"Yes",2,2017-01-01,NA,"No"
155708,"No","0-1","Pass",7,"No",2,2017-01-01,2019-10-01,"Yes"
618861,"No","0-1","Pass+",10,"No",2,2017-02-01,2020-07-01,"Yes"
467720,"No","0-1","Pass",7,"Yes",3,2016-01-01,2019-12-01,"Yes"
744558,"No","3+","Pass",10,"No",1,2017-02-01,2018-01-01,"Yes"
549349,"No","3+","Pass",8,"No",2,2016-05-01,2016-06-01,"Yes"
924581,"No","0-1","Pass",10,"No",2,2017-03-01,NA,"No"
711221,"No","0-1","Pass",10,"Yes",2,2016-02-01,NA,"No"
363920,"No","2","Pass",10,"No",2,2017-08-01,2020-02-01,"Yes"
681257,"No","0-1","Pass",10,"No",2,2016-02-01,NA,"No"
588694,"No","0-1","Pass",6,"No",2,2016-02-01,2016-10-01,"Yes"
753336,"No","0-1","Pass",9,"No",2,2016-01-01,2018-04-01,"Yes"
823662,"No","0-1","Pass",7,"No",0,2017-02-01,2017-12-01,"Yes"
575563,"No","0-1","Pass",10,"No",3,2017-01-01,NA,"No"
516849,"No","2","Pass+",10,"No",3,2016-02-01,2020-03-01,"Yes"
325355,"No","0-1","Concerns",7,"No",3,2016-02-01,NA,"No"
716711,"No","2","Pass",10,"Yes",2,2017-04-01,2018-05-01,"Yes"
591147,"No","0-1","Pass",8,"No",2,2016-01-01,NA,"No"
434071,"No","0-1","Pass",7,"Yes",3,2016-02-01,2020-06-01,"Yes"
226212,"Yes","0-1","Pass",8,"No",2,2017-03-01,NA,"No"
926488,"No","2","Pass",10,"No",3,2017-12-01,2020-06-01,"Yes"
616360,"No","2","Pass",8,"Yes",2,2017-06-01,2021-03-01,"Yes"
847046,"No","0-1","Pass",8,"No",2,2016-03-01,2020-01-01,"Yes"
354399,"No","0-1","Pass",10,"No",2,2017-02-01,NA,"No"
525962,"No","3+","Pass",10,"No",2,2016-02-01,NA,"No"
326073,"No","2","Pass",8,"No",2,2016-01-01,2016-03-01,"Yes"
799953,"Yes","2","Concerns",7,"No",1,2016-05-01,2017-01-01,"Yes"
356354,"Yes","0-1","Pass+",10,"No",2,2016-03-01,NA,"No"
309563,"No","3+","Pass",8,"Yes",3,2017-02-01,2020-06-01,"Yes"
522279,"No","0-1","Pass",10,"No",2,2017-01-01,2018-09-01,"Yes"
488783,"No","0-1","Pass",10,"Yes",1,2016-01-01,NA,"No"
727157,"No","0-1","Pass",9,"No",3,2016-06-01,2018-02-01,"Yes"
984173,"No","0-1","Pass",7,"No",2,2016-04-01,2016-09-01,"Yes"
306668,"No","0-1","Pass",9,"Yes",2,2017-08-01,2021-12-01,"Yes"
277563,"No","3+","Concerns",7,"Yes",2,2016-01-01,2019-10-01,"Yes"
378905,"No","0-1","Pass",9,"No",2,2017-02-01,2017-12-01,"Yes"
846720,"No","0-1","Pass",10,"Yes",3,2016-02-01,2021-10-01,"Yes"
452320,"No","0-1","Concerns",6,"Yes",2,2017-02-01,2020-10-01,"Yes"
962540,"No","0-1","Pass",8,"No",2,2017-04-01,2018-02-01,"Yes"
704126,"No","2","Pass",10,"No",3,2016-07-01,2019-02-01,"Yes"
570601,"No","0-1","Pass",8,"Yes",3,2016-01-01,2016-02-01,"Yes"
593648,"No","0-1","Pass",8,"No",3,2016-02-01,NA,"No"
620799,"No","0-1","Pass",10,"No",2,2016-08-01,NA,"No"
676106,"No","3+","Pass",8,"No",1,2017-01-01,2018-09-01,"Yes"
545822,"No","0-1","Pass",7,"No",3,2017-03-01,2019-08-01,"Yes"
673003,"No","0-1","Pass",9,"Yes",2,2016-03-01,2020-09-01,"Yes"
988151,"No","0-1","Pass",1,"No",2,2017-01-01,2018-05-01,"Yes"
995961,"No","3+","Pass",10,"No",2,2016-04-01,NA,"No"
613118,"No","0-1","Pass",8,"No",3,2016-09-01,2019-01-01,"Yes"
974674,"No","0-1","Pass",10,"No",2,2017-05-01,2017-06-01,"Yes"
201105,"No","3+","Concerns",10,"No",2,2017-01-01,2017-02-01,"Yes"
802117,"No","3+","Pass",9,"No",3,2016-04-01,2017-09-01,"Yes"
177207,"No","2","Pass",10,"No",1,2017-01-01,2017-06-01,"Yes"
665919,"No","2","Pass",10,"Yes",2,2017-03-01,NA,"No"
687262,"No","2","Concerns",8,"No",2,2017-01-01,2021-04-01,"Yes"
608802,"No","0-1","Pass",7,"No",2,2016-05-01,2018-03-01,"Yes"
432192,"No","0-1","Pass",1,"Yes",2,2016-02-01,2018-04-01,"Yes"
363274,"No","0-1","Pass",8,"No",0,2017-03-01,2017-09-01,"Yes"
254980,"No","0-1","Pass",8,"No",2,2016-07-01,2018-04-01,"Yes"
902955,"No","2","Pass",8,"No",2,2016-08-01,2019-04-01,"Yes"
579515,"No","0-1","Pass",10,"No",1,2017-02-01,NA,"No"
750865,"Yes","0-1","Pass",9,"No",3,2017-05-01,2019-08-01,"Yes"
418659,"No","0-1","Pass",8,"No",2,2017-01-01,2019-01-01,"Yes"
246904,"Yes","0-1","Pass",6,"No",3,2017-07-01,NA,"No"
809658,"No","0-1","Pass",8,"No",1,2017-02-01,NA,"No"
728193,"No","0-1","Pass",8,"No",2,2016-03-01,2018-06-01,"Yes"
630046,"No","2","Pass",8,"No",2,2016-01-01,2020-09-01,"Yes"
160920,"No","2","Concerns",8,"No",3,2017-04-01,NA,"No"
405113,"No","0-1","Pass",7,"Yes",3,2016-05-01,2018-09-01,"Yes"
348640,"No","0-1","Concerns",10,"No",2,2016-02-01,2020-04-01,"Yes"
183981,"Yes","0-1","Pass+",10,"No",2,2016-01-01,NA,"No"
758149,"No","0-1","Pass",10,"No",1,2016-02-01,NA,"No"
696570,"No","0-1","Pass",10,"No",3,2016-02-01,2017-05-01,"Yes"
351283,"No","0-1","Pass",10,"Yes",3,2016-01-01,NA,"No"
482378,"No","2","Concerns",0,"No",3,2016-02-01,2018-04-01,"Yes"
559750,"No","0-1","Pass",9,"Yes",2,2016-01-01,2020-09-01,"Yes"
247435,"Yes","0-1","Pass",1,"No",3,2017-02-01,2021-05-01,"Yes"
599353,"No","2","Pass",7,"No",1,2016-04-01,2020-08-01,"Yes"
252554,"Yes","2","Pass",10,"No",2,2016-02-01,2021-02-01,"Yes"
359209,"Yes","0-1","Concerns",8,"No",2,2016-02-01,2018-10-01,"Yes"
556532,"Yes","2","Concerns",8,"No",2,2017-01-01,NA,"No"
312206,"No","2","Pass",10,"No",2,2017-07-01,NA,"No"
326555,"No","2","Pass",10,"No",1,2017-01-01,NA,"No"
300155,"No","0-1","Pass",1,"No",2,2017-01-01,2019-05-01,"Yes"
241087,"No","2","Pass",10,"No",3,2016-01-01,NA,"No"
898816,"No","0-1","Pass",10,"No",3,2016-01-01,2017-10-01,"Yes"
140024,"No","0-1","Pass",7,"No",2,2016-01-01,2016-12-01,"Yes"
423161,"No","0-1","Pass",10,"No",2,2017-04-01,2017-07-01,"Yes"
961158,"No","0-1","Pass",10,"No",2,2017-01-01,2021-01-01,"Yes"
290537,"No","0-1","Pass",9,"Yes",3,2016-02-01,2019-09-01,"Yes"
884617,"No","2","Pass+",7,"No",1,2017-01-01,NA,"No"
740147,"No","0-1","Pass",10,"No",3,2017-08-01,NA,"No"
163156,"No","2","Pass",10,"No",2,2017-01-01,2019-04-01,"Yes"
922941,"No","0-1","Pass",9,"No",2,2016-02-01,2020-08-01,"Yes"
906905,"Yes","0-1","Pass",7,"No",2,2017-01-01,NA,"No"
284582,"Yes","0-1","Concerns",8,"No",3,2016-02-01,NA,"No"
916759,"Yes","0-1","Pass",10,"Yes",3,2016-05-01,NA,"No"
765948,"No","2","Pass",7,"No",3,2017-02-01,2019-04-01,"Yes"
494104,"No","0-1","Pass",10,"No",2,2016-08-01,2019-01-01,"Yes"
975727,"No","2","Concerns",9,"Yes",2,2016-05-01,2020-05-01,"Yes"
587025,"No","2","Pass",9,"No",3,2016-01-01,2018-03-01,"Yes"
976808,"No","2","Pass",9,"Yes",1,2017-01-01,NA,"No"
524967,"No","3+","Concerns",10,"No",3,2017-04-01,2019-06-01,"Yes"
454241,"No","2","Pass",7,"No",2,2017-02-01,NA,"No"
975064,"No","0-1","Pass",10,"No",2,2017-05-01,2019-06-01,"Yes"
271312,"No","2","Pass",8,"Yes",2,2017-04-01,2019-10-01,"Yes"
215580,"No","0-1","Pass",10,"No",2,2017-01-01,NA,"No"
244717,"No","0-1","Pass",8,"No",2,2016-03-01,2017-02-01,"Yes"
696308,"No","0-1","Pass",8,"No",2,2016-04-01,NA,"No"
579439,"No","3+","Pass",7,"Yes",2,2017-05-01,2020-10-01,"Yes"
869241,"No","0-1","Pass",7,"No",2,2016-02-01,NA,"No"
913163,"No","2","Concerns",8,"No",3,2017-01-01,2017-04-01,"Yes"
521740,"No","0-1","Concerns",10,"No",1,2017-01-01,NA,"No"
909303,"No","0-1","Pass",10,"No",3,2017-02-01,2019-08-01,"Yes"
973152,"No","0-1","Pass",10,"No",3,2017-01-01,NA,"No"
782435,"No","0-1","Pass",7,"Yes",2,2017-03-01,NA,"No"
623735,"No","2","Concerns",10,"No",3,2017-02-01,2019-02-01,"Yes"
894850,"No","3+","Pass",8,"No",2,2016-02-01,2016-04-01,"Yes"
621174,"No","0-1","Pass",0,"Yes",1,2016-02-01,2016-10-01,"Yes"
338548,"No","2","Concerns",7,"No",3,2016-03-01,NA,"No"
769806,"No","0-1","Pass",10,"No",3,2016-02-01,2016-12-01,"Yes"
167868,"Yes","0-1","Concerns",9,"No",1,2016-06-01,2018-05-01,"Yes"
213730,"No","0-1","Concerns",8,"Yes",2,2016-02-01,2017-02-01,"Yes"
974604,"No","3+","Pass",10,"Yes",3,2016-11-01,2021-05-01,"Yes"
992041,"No","3+","Concerns",8,"No",3,2016-02-01,2018-06-01,"Yes"
382309,"No","0-1","Concerns",9,"No",2,2017-02-01,2021-04-01,"Yes"
952076,"No","2","Pass",10,"No",3,2016-02-01,2016-06-01,"Yes"
249268,"Yes","0-1","Pass",10,"No",3,2016-01-01,NA,"No"
970904,"No","0-1","Concerns",8,"No",3,2017-04-01,2020-11-01,"Yes"
948878,"No","0-1","Concerns",8,"No",3,2017-12-01,NA,"No"
